Topic_Code,Topic_Categories,Question,Response
AASKK04,Decision Tree,What is Information Gain?,https://en.wikipedia.org/wiki/Decision_tree
AASKK04,Decision Tree,How Information Gain and Entropy are related?,https://en.wikipedia.org/wiki/Decision_tree
AASKK04,Decision Tree,How to determine most important feature with Information Gain?,https://en.wikipedia.org/wiki/Decision_tree
AASKK04,Decision Tree,What is dummification of data?,https://en.wikipedia.org/wiki/Decision_tree
AASKK04,Random Forest,What is Voting Process?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,What types of Voting Process are available?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,What is Bootstrap Sampling?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,What is Max Features parameter in Random Forest?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,What is Num of Trees parameter in Random Forest?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,What is Max Depth parameter in Random Forest?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,What is Seed?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,What is Grid Search?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,What is Random Search?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,Is Bagging concepts used in Random Forest algorithm?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Boosting,What is Boosting?,https://en.wikipedia.org/wiki/Boost
AASKK04,Boosting,Are the dataset constant in Boosting?,https://en.wikipedia.org/wiki/Boost
AASKK04,Boosting,Can Boosting be done with different algorithms?,https://en.wikipedia.org/wiki/Boost
AASKK04,Boosting,What is a Bag in Boosting?,https://en.wikipedia.org/wiki/Boost
AASKK04,Boosting,What is AdaBoosing?,https://en.wikipedia.org/wiki/Boost
AASKK04,Boosting,What is Gradient Boosting?,https://en.wikipedia.org/wiki/Boost
AASKK04,Boosting,What is Extreme Gradient (XG) Boosting?,https://en.wikipedia.org/wiki/Boost
AASKK04,Bagging,What is Bagging?,https://en.wikipedia.org/wiki/Bagging
AASKK04,Bagging,What is Bagging Classifier algorithm?,https://en.wikipedia.org/wiki/Bagging
AASKK04,Bagging,What are the demerits of Bagging?,https://en.wikipedia.org/wiki/Bagging
AASKK04,Random Forest,More information on Random Forest?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,Can you provide me more details on Random Forest?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,I need more details on Random Forest?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,Where can I find more information on Random Forest?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,Can I get more info on Random Forest?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Decision Tree,Unable to understand Decision Tree,https://en.wikipedia.org/wiki/Decision_tree
AASKK04,Decision Tree,I need more details to understand Decision Tree?,https://en.wikipedia.org/wiki/Decision_tree
AASKK04,Decision Tree,Can I get more info on Decision Tree?,https://en.wikipedia.org/wiki/Decision_tree
AASKK04,Decision Tree,I still have more questions on Decision Tree?,https://en.wikipedia.org/wiki/Decision_tree
AASKK04,Greetings,Hi there,"Hi there, how can I help?"
AASKK04,Greetings,How are you,"Hello, thanks for asking"
AASKK04,Greetings,Is anyone there?,"Hello, Good to see you"
AASKK04,Greetings,Hey,"Hi there, how can I help?"
AASKK04,Greetings,Hola,"Hi there, how can I help?"
AASKK04,Greetings,Hello,"Hi there, how can I help?"
AASKK04,Greetings,Good day,"Good to see you, how can I help you ?"
AASKK04,Bye Greetings,Bye,Please Click on Exit or Restart button on top
AASKK04,Bye Greetings,Exit,Please Click on Exit or Restart button on top
AASKK04,Bye Greetings,Restart,Please Click on Exit or Restart button on top
AASKK04,Bye Greetings,Close,Please Click on Exit or Restart button on top
AASKK06,CATEGORY6,What are all new methods available in classification?,"Generative models , Discriminative models, Decision trees, mutual_info_classif, LDA, QDA, SVM,"
AASKK06,CATEGORY6,Can you explain some of the newer advanced methods in classification?,"Generative models , Discriminative models, Decision trees, mutual_info_classif, LDA, QDA, SVM,"
AASKK06,CATEGORY6,More info on newer advanced methods in classification?,"Generative models , Discriminative models, Decision trees, mutual_info_classif, LDA, QDA, SVM,"
AASKK06,CATEGORY7,can you provide me more details on classification methods?," Random Forest, Decision trees, Ensemble methods, Logsistic regression, Naive Bayes,KNeighborsClassifier, "
AASKK06,CATEGORY7,more info on classification methods?," Random Forest, Decision trees, Ensemble methods, Logsistic regression, Naive Bayes,KNeighborsClassifier, "
AASKK06,CATEGORY7,Can you explain different classification methods?," Random Forest, Decision trees, Ensemble methods, Logsistic regression, Naive Bayes,KNeighborsClassifier, "
AASKK06,CATEGORY6,What are different types of advanced classification  methods?,"Generative models , Discriminative models, Decision trees, mutual_info_classif, LDA, QDA, SVM,"
AASKK06,CATEGORY8,What are all new methods available in regression?,"Mutual_info_regression,Ridge regression, Lasso Rigression,"
AASKK06,CATEGORY8,Can you explain some of the newer advanced methods in regression?,"Mutual_info_regression,Ridge regression, Lasso Rigression,"
AASKK06,CATEGORY8,More info on newer advanced methods in regression?,"Mutual_info_regression,Ridge regression, Lasso Rigression,"
AASKK06,CATEGORY8,Explain in words some of the advanced methods in regression?,"Mutual_info_regression,Ridge regression, Lasso Rigression,"
AASKK06,CATEGORY8,What are different types of advanced regression methods?,"Mutual_info_regression,Ridge regression, Lasso Rigression,"
AASKK06,CATEGORY9,What are different types of regression methods?,"Linear regression,  Polynomail regression, Decision trees regression,SVM Regression, Random Forest Regression, Decision trees regression, Ensemble methods,KNeighborsRegresspr "
AASKK06,CATEGORY9,Can you explain some of the newer methods in regression?,"Linear regression,  Polynomail regression, Decision trees regression,SVM Regression, Random Forest Regression, Decision trees regression, Ensemble methods,KNeighborsRegresspr "
AASKK06,CATEGORY9,More info on newer methods in regression?,"Linear regression,  Polynomail regression, Decision trees regression,SVM Regression, Random Forest Regression, Decision trees regression, Ensemble methods,KNeighborsRegresspr "
AASKK06,CATEGORY9,Explain in words some of the methods in regression?,"Linear regression,  Polynomail regression, Decision trees regression,SVM Regression, Random Forest Regression, Decision trees regression, Ensemble methods,KNeighborsRegresspr "
AASKK06,CATEGORY9,What are different types of  regression methods?,"Linear regression,  Polynomail regression, Decision trees regression,SVM Regression, Random Forest Regression, Decision trees regression, Ensemble methods,KNeighborsRegresspr "
AASKK06,CATEGORY10,what are all different Advanced Ensemble classification methods?,"Stochastic Gradient descent, Light Gradient Descent, XGBOOST, CATBOOST,One Vs All, One vs Rest Classifier."
AASKK06,CATEGORY10,What are different types of advanced ensemble methods?,"Stochastic Gradient descent, Light Gradient Descent, XGBOOST, CATBOOST,One Vs All, One vs Rest Classifier."
AASKK06,CATEGORY10,What are all new methods available in advanced ensemble classification?,"Stochastic Gradient descent, Light Gradient Descent, XGBOOST, CATBOOST,One Vs All, One vs Rest Classifier."
AASKK06,CATEGORY10,Can you explain some of the newer methods in advanced ensemble classification?,"Stochastic Gradient descent, Light Gradient Descent, XGBOOST, CATBOOST,One Vs All, One vs Rest Classifier."
AASKK06,CATEGORY10,More info on newer methods in advanced ensemble classification?,"Stochastic Gradient descent, Light Gradient Descent, XGBOOST, CATBOOST,One Vs All, One vs Rest Classifier."
AASKK06,CATEGORY10,Explain in words some of the methods in advanced ensemble classification?,"Stochastic Gradient descent, Light Gradient Descent, XGBOOST, CATBOOST,One Vs All, One vs Rest Classifier."
AASKK06,CATEGORY11,what are all different basic Ensemble classification methods?,"Max Voting, Hard voting, weighted voting, Soft voting, Averaging, weight averaging, Sample selection, Row selection, Feature selection, Feture union"
AASKK06,CATEGORY11,What are different types of basic ensemble methods?,"Max Voting, Hard voting, weighted voting, Soft voting, Averaging, weight averaging, Sample selection, Row selection, Feature selection, Feture union"
AASKK06,CATEGORY11,What are all new methods available in basic ensemble classification?,"Max Voting, Hard voting, weighted voting, Soft voting, Averaging, weight averaging, Sample selection, Row selection, Feature selection, Feture union"
AASKK06,CATEGORY11,Can you explain some of the newer methods in basic ensemble classification?,"Max Voting, Hard voting, weighted voting, Soft voting, Averaging, weight averaging, Sample selection, Row selection, Feature selection, Feture union"
AASKK06,CATEGORY11,More info on newer methods in basic ensemble classification?,"Max Voting, Hard voting, weighted voting, Soft voting, Averaging, weight averaging, Sample selection, Row selection, Feature selection, Feture union"
AASKK06,CATEGORY12,what are all different Ensemble classification methods?," Bagging, Boosting, RandomForest, Stacking Classifier, "
AASKK06,CATEGORY12,Define some of the ensemble classification methods?," Bagging, Boosting, RandomForest, Stacking Classifier, "
AASKK06,CATEGORY12,What are different types of  ensemble methods?," Bagging, Boosting, RandomForest, Stacking Classifier, "
AASKK06,CATEGORY12,What are all new methods available in  ensemble classification?," Bagging, Boosting, RandomForest, Stacking Classifier, "
AASKK06,CATEGORY12,Can you explain some of the newer methods in ensemble classification?," Bagging, Boosting, RandomForest, Stacking Classifier, "
AASKK06,CATEGORY12,More info on newer methods in  ensemble classification?," Bagging, Boosting, RandomForest, Stacking Classifier, "
AASKK06,CATEGORY12,Name a few classification model," Bagging, Boosting, RandomForest, Stacking Classifier, "
